name,trip_count,route_count,id,geometry
Metrocorp Nirvana Layout,2,1,5wl,POINT (77.63484 13.21347)
Mid City,2,1,2qi,POINT (77.54386 13.1452)
Mid City,2,1,5o8,POINT (77.54386 13.14527)
Military Accounts Office,525,75,21u,POINT (77.62089 12.96694)
Military Accounts Office,22,2,k4,POINT (77.6203 12.96707)
Military Accounts Office,339,35,sd,POINT (77.62117 12.96691)
Military Bridge,224,12,2f8,POINT (77.64015 12.94599)
Military Bridge,202,15,5k3,POINT (77.63992 12.9459)
Military Dairy Farm (Esteem Mall),18,6,4h5,POINT (77.59324 13.04943)
Military Dairy Farm (Esteem Mall),1151,118,4rm,POINT (77.59287 13.04974)
Military Dairy Farm (Esteem Mall),1415,174,4t0,POINT (77.59271 13.04974)
Military Dairy Farm (Esteem Mall),2,2,qj,POINT (77.59324 13.04931)
Milk Booth,28,4,1kf,POINT (77.5108 12.90291)
Milk Booth,81,3,3ob,POINT (77.5107 12.90268)
Milk Booth JP Nagara,43,11,2vk,POINT (77.59514 12.91002)
Milk Booth JP Nagara,23,1,5e,POINT (77.59526 12.90998)
Milk Colony 1,9,2,1nv,POINT (77.55967 13.00906)
Milk Dairy Hegganahalli,237,23,4mz,POINT (77.50549 13.0073)
Milk Dairy Hegganahalli,119,15,59j,POINT (77.50553 13.00745)
Millers Road,30,2,1wq,POINT (77.60218 12.99538)
Millers Road,37,3,5uo,POINT (77.60216 12.99545)
Minaznagara,3,1,1l8,POINT (77.56181 12.91219)
Minerva Circle,247,23,bi,POINT (77.57992 12.95387)
Minerva Mill,305,38,2ki,POINT (77.56435 12.97945)
Minerva Mill,328,41,322,POINT (77.56445 12.9795)
Minnapura,18,2,3sz,POINT (77.33232 13.16787)
Minnapura,11,2,40l,POINT (77.33225 13.16786)
Miranda School,3,2,282,POINT (77.65147 12.96826)
Mittaganahalli 1,4,2,5gt,POINT (77.64363 13.10951)
Mittaganahalli Cross,4,2,3o2,POINT (77.64381 13.11173)
Modern Food Goraguntepalya,229,21,162,POINT (77.53395 13.02482)
Modern Food Goraguntepalya,151,20,3ph,POINT (77.53414 13.02483)
Modi Garden,1,1,44d,POINT (77.60278 13.01588)
Modi Hospital,495,13,5sb,POINT (77.54586 12.99749)
Modi Hospital,478,14,vf,POINT (77.54573 12.9974)
Mohankumar Nagara,4,1,3yc,POINT (77.54939 13.0307)
Mohankumar Nagara,2,2,9b,POINT (77.54934 13.03065)
Monotype Corporation,144,16,1vw,POINT (77.57062 12.92176)
Monotype Corporation,110,7,30q,POINT (77.57104 12.92154)
Moodalapalya,184,19,3nh,POINT (77.5249 12.97054)
Moodalapalya,175,18,bl,POINT (77.52499 12.97071)
Mosque Road,448,27,30w,POINT (77.61609 13.00032)
Mosque Road,173,50,4dz,POINT (77.61578 13.00067)
Mosque Road,516,27,4vx,POINT (77.61598 13.00037)
Motaganahalli,4,3,25f,POINT (77.31183 13.00497)
Motaganahalli,1,1,4mk,POINT (77.31189 13.00488)
Motaganahalli Bishop Cotton School,2,2,2mk,POINT (77.31179 13.01761)
Motaganahalli Bishop Cotton School,1,1,3nl,POINT (77.31186 13.01766)
Motaganahalli High School,1,1,17i,POINT (77.31179 13.00809)
Motaganahalli High School,2,2,297,POINT (77.31174 13.00807)
Mother Dairy Cross Yalahanka,726,33,53b,POINT (77.5771 13.09955)
Mother Dairy Cross Yalahanka,686,34,qi,POINT (77.57719 13.09933)
Mother Dairy Yalahanka,402,15,5fu,POINT (77.57479 13.09877)
Mother Dairy Yalahanka,153,5,5lu,POINT (77.5741 13.09884)
Motherson Automotive Cross,17,4,3st,POINT (77.41968 12.80794)
Motherson Automotive Cross,18,7,8e,POINT (77.4197 12.80778)
Mount Carmel,16,2,1t9,POINT (77.71304 12.9129)
Mount Carmel,2,2,6b4,POINT (77.71303 12.91293)
Mount Carmel College,149,7,1z6,POINT (77.58883 12.99297)
Mount Carmel College,23,1,3w5,POINT (77.58893 12.99315)
Mudalapalya (Banavadi),1,1,344,POINT (77.247 13.13344)
Mudalayyana Doddy,2,1,2t3,POINT (77.57767 12.7336)
Mudalayyana Doddy,1,1,3kz,POINT (77.57775 12.7336)
Muddanahalli,4,2,hb,POINT (77.57737 13.15222)
Muddanahalli Gate,5,1,31m,POINT (77.91653 13.19705)
Muddanayakanahalli,4,2,23x,POINT (77.68022 13.2964)
Muddayanapalya,61,3,2cf,POINT (77.4878 12.9663)
Muddayanapalya Junction,87,8,6ej,POINT (77.48809 12.97138)
Muddayyanapalya,1,1,yb,POINT (77.41726 12.932)
Muddayyanapalya,2,1,z2,POINT (77.38231 12.92046)
Muddinapalya,10,4,1rc,POINT (77.48786 12.96632)
Muddinapalya Junction,184,11,3hm,POINT (77.48793 12.97138)
Mugabala,2,1,63e,POINT (77.88853 13.11977)
Mugabala,3,2,z8,POINT (77.88874 13.11945)
Mugaluru,16,5,4r9,POINT (77.82101 12.89478)
Mugaluru,20,8,nr,POINT (77.82094 12.89488)
Mukkodlu,18,6,5wo,POINT (77.52841 12.75655)
Mukkodlu,17,5,66q,POINT (77.52837 12.75649)
Mukthi Naga Temple,3,1,vh,POINT (77.42184 12.91492)
Mulakattamma Temple Mallohalli,6,3,3de,POINT (77.45052 13.22355)
Mulkattamma Temple Mallohalli,4,2,463,POINT (77.45049 13.22352)
Mulluru,3,2,4yr,POINT (77.72449 12.90438)
Mulluru,1,1,vc,POINT (77.72452 12.90443)
Multiplex Marathahalli,729,37,1el,POINT (77.69956 12.95154)
Multiplex Marathahalli,741,39,6al,POINT (77.70002 12.95227)
Mummenahalli,2,1,68h,POINT (77.3166 12.9796)
Muncipal Office Vijayapura,54,4,2om,POINT (77.80025 13.29605)
Muncipal Office Vijayapura,54,7,538,POINT (77.80039 13.296)
Muneshwara Block,35,6,28q,POINT (77.54873 12.94229)
Muneshwara Block,8,1,3uv,POINT (77.54744 12.94519)
